session,phase,category,frame,mean_dFF,H,W,n_frames
230715,Expert,Distractor,6,-0.00011386325189192085,142,170,22
230715,Expert,Distractor,7,-0.00014077819910027111,142,170,22
230715,Expert,Distractor,8,0.00023456257519967588,142,170,22
230715,Expert,Distractor,9,0.00016565278790128221,142,170,22
230715,Expert,Distractor,10,-0.0002628804819549231,142,170,22
230715,Expert,Distractor,11,-0.0005086461154687436,142,170,22
230715,Expert,Distractor,12,-2.4571379890120035e-05,142,170,22
230715,Expert,Distractor,13,0.00040894044749153894,142,170,22
230715,Expert,Distractor,14,0.0008264639662961766,142,170,22
230715,Expert,Distractor,15,0.001231485787730877,142,170,22
230715,Expert,Distractor,16,0.0017076346241825496,142,170,22
230715,Expert,Distractor,17,0.0018323082662827907,142,170,22
230715,Expert,Distractor,18,0.002133605406495673,142,170,22
230715,Expert,Distractor,19,0.0024001332938120637,142,170,22
230715,Expert,Distractor,20,0.0022748426956811572,142,170,22
230715,Expert,Distractor,21,0.0024986218570856584,142,170,22
230716,Expert,Hits,0,0.00033803178596591104,142,170,22
230716,Expert,Hits,1,-0.0009512329543399541,142,170,22
230716,Expert,Hits,2,-0.0014719791167191734,142,170,22
230716,Expert,Hits,3,-0.0007526602680894774,142,170,22
230716,Expert,Hits,4,-0.00015476164400282622,142,170,22
230716,Expert,Hits,5,1.590864951735624e-05,142,170,22
230716,Expert,Hits,6,0.00025994705098183844,142,170,22
230716,Expert,Hits,7,6.24073414692371e-06,142,170,22
230716,Expert,Hits,8,-0.0002792788929120172,142,170,22
230716,Expert,Hits,9,0.0008564084454172873,142,170,22
230716,Expert,Hits,10,0.002471407996000067,142,170,22
230716,Expert,Hits,11,0.0027651330778266916,142,170,22
230716,Expert,Hits,12,0.0035187259987885296,142,170,22
230716,Expert,Hits,13,0.007060761297447495,142,170,22
230716,Expert,Hits,14,0.016367768442269483,142,170,22
230716,Expert,Hits,15,0.026423625233600933,142,170,22
230716,Expert,Hits,16,0.03814213544691671,142,170,22
230716,Expert,Hits,17,0.044228032523568786,142,170,22
230716,Expert,Hits,18,0.04488530931722935,142,170,22
230716,Expert,Hits,19,0.04228017604073914,142,170,22
230716,Expert,Hits,20,0.03850168804958334,142,170,22
230716,Expert,Hits,21,0.03443319032044059,142,170,22
230716,Expert,GoodLicks,0,-0.0006092205594245472,142,170,14
230716,Expert,GoodLicks,1,-1.892077312413682e-05,142,170,14
230716,Expert,GoodLicks,2,-1.6468315311829324e-06,142,170,14
230716,Expert,GoodLicks,3,-0.0001907862848403973,142,170,14
230716,Expert,GoodLicks,4,0.0014313605552242039,142,170,14
230716,Expert,GoodLicks,5,0.0025891003134552717,142,170,14
230716,Expert,GoodLicks,6,0.003352925941109609,142,170,14
230716,Expert,GoodLicks,7,0.004597599083271585,142,170,14
230716,Expert,GoodLicks,8,0.00912689358080251,142,170,14
230716,Expert,GoodLicks,9,0.020778762154314633,142,170,14
230716,Expert,GoodLicks,10,0.03187129601922538,142,170,14
230716,Expert,GoodLicks,11,0.04487052294184733,142,170,14
230716,Expert,GoodLicks,12,0.048028262116401675,142,170,14
230716,Expert,GoodLicks,13,0.044407922385829385,142,170,14
230716,Expert,FA,0,0.0030397452393276223,142,170,22
230716,Expert,FA,1,0.002540633254528673,142,170,22
230716,Expert,FA,2,0.0021008461330088504,142,170,22
230716,Expert,FA,3,-0.00017476453934231495,142,170,22
230716,Expert,FA,4,-8.413760689418047e-05,142,170,22
230716,Expert,FA,5,-0.000812521285795157,142,170,22
230716,Expert,FA,6,-0.0008816313038945329,142,170,22
230716,Expert,FA,7,-0.0015467852172994332,142,170,22
230716,Expert,FA,8,-0.0015114461717986903,142,170,22
230716,Expert,FA,9,-0.00031310661643365977,142,170,22
230716,Expert,FA,10,0.0006829133539204467,142,170,22
230716,Expert,FA,11,0.0009718597051576522,142,170,22
230716,Expert,FA,12,0.0008291600975576036,142,170,22
230716,Expert,FA,13,0.002100197047227591,142,170,22
230716,Expert,FA,14,0.004086514790428114,142,170,22
230716,Expert,FA,15,0.010458166874425297,142,170,22
230716,Expert,FA,16,0.015028935500357277,142,170,22
230716,Expert,FA,17,0.018690634927021464,142,170,22
230716,Expert,FA,18,0.017911567697375043,142,170,22
230716,Expert,FA,19,0.016786455367525113,142,170,22
230716,Expert,FA,20,0.01794457025702606,142,170,22
230716,Expert,FA,21,0.015265480538813653,142,170,22
230716,Expert,DistractorLicks,0,-0.0006176310129108975,142,170,14
230716,Expert,DistractorLicks,1,-0.0016904225531073971,142,170,14
230716,Expert,DistractorLicks,2,-0.0015090479894106705,142,170,14
230716,Expert,DistractorLicks,3,-0.0015596559073141846,142,170,14
230716,Expert,DistractorLicks,4,-0.00015177931779565773,142,170,14
230716,Expert,DistractorLicks,5,0.0008599111407239983,142,170,14
230716,Expert,DistractorLicks,6,0.0011971593070826954,142,170,14
230716,Expert,DistractorLicks,7,0.0016184065556321934,142,170,14
230716,Expert,DistractorLicks,8,0.0025891611964458244,142,170,14
230716,Expert,DistractorLicks,9,0.005597419661592665,142,170,14
230716,Expert,DistractorLicks,10,0.015765981806108574,142,170,14
230716,Expert,DistractorLicks,11,0.015940796752434268,142,170,14
230716,Expert,DistractorLicks,12,0.019189612206828053,142,170,14
230716,Expert,DistractorLicks,13,0.02066743615461864,142,170,14
230716,Expert,Spont,0,0.005493923290425667,142,170,14
230716,Expert,Spont,1,0.0061675266392799835,142,170,14
230716,Expert,Spont,2,0.007140582156528876,142,170,14
230716,Expert,Spont,3,0.004866967270715262,142,170,14
230716,Expert,Spont,4,0.0029215677563982027,142,170,14
230716,Expert,Spont,5,0.00311583484088181,142,170,14
230716,Expert,Spont,6,0.0018939797305992496,142,170,14
230716,Expert,Spont,7,-0.003348830131666294,142,170,14
230716,Expert,Spont,8,-0.004385840734513078,142,170,14
230716,Expert,Spont,9,-0.0026511300431047466,142,170,14
230716,Expert,Spont,10,0.003875486382237417,142,170,14
230716,Expert,Spont,11,0.007004827243241057,142,170,14
230716,Expert,Spont,12,0.008278287041059849,142,170,14
230716,Expert,Spont,13,0.008044758350765093,142,170,14
230716,Expert,Misses,0,0.007054691090539672,142,170,22
230716,Expert,Misses,1,0.005637491021263279,142,170,22
230716,Expert,Misses,2,0.0048952809326218965,142,170,22
230716,Expert,Misses,3,0.003859665048085828,142,170,22
230716,Expert,Misses,4,0.0009884475109371137,142,170,22
230716,Expert,Misses,5,-0.0006658781914007953,142,170,22
230716,Expert,Misses,6,-0.0015468839145940242,142,170,22
230716,Expert,Misses,7,-0.002080630618043736,142,170,22
230716,Expert,Misses,8,-0.0017064694447074058,142,170,22
230716,Expert,Misses,9,-0.004324289653302059,142,170,22
230716,Expert,Misses,10,-0.005056732690860126,142,170,22
230716,Expert,Misses,11,-0.0057661336674888096,142,170,22
230716,Expert,Misses,12,-0.005596559803119045,142,170,22
230716,Expert,Misses,13,-0.005540969554810282,142,170,22
230716,Expert,Misses,14,-0.005331361436286244,142,170,22
230716,Expert,Misses,15,-0.00481381235728619,142,170,22
230716,Expert,Misses,16,-0.0050380820130020805,142,170,22
230716,Expert,Misses,17,-0.0025998299763401638,142,170,22
230716,Expert,Misses,18,-0.0016309408975568264,142,170,22
230716,Expert,Misses,19,-0.0036726704458926356,142,170,22
230716,Expert,Misses,20,-0.002293724049757667,142,170,22
230716,Expert,Misses,21,-0.0013795342890930398,142,170,22
230716,Expert,CR,0,0.004183585753613816,142,170,22
230716,Expert,CR,1,-0.0002185095757524495,142,170,22
230716,Expert,CR,2,0.00037371821825615234,142,170,22
230716,Expert,CR,3,0.0009384384945510553,142,170,22
230716,Expert,CR,4,0.0008296286215665546,142,170,22
230716,Expert,CR,5,0.0009679347214926088,142,170,22
230716,Expert,CR,6,0.0006968019336669001,142,170,22
230716,Expert,CR,7,-0.0002537005985498706,142,170,22
230716,Expert,CR,8,-0.0006203055735657865,142,170,22
230716,Expert,CR,9,-0.0011762376839450491,142,170,22
230716,Expert,CR,10,-0.0015377685577201252,142,170,22
230716,Expert,CR,11,-0.0014508280901482417,142,170,22
230716,Expert,CR,12,-0.001300125552183266,142,170,22
230716,Expert,CR,13,-0.0015181824133098753,142,170,22
230716,Expert,CR,14,-0.000636173955169199,142,170,22
